filename,width,height,class,xmin,ymin,xmax,ymax
000022_03_01_062_Dilatacion.png,512,512,Lesion,318,255,346,274
000022_03_01_062_Erosion.png,512,512,Lesion,315,255,345,277
000022_03_01_062_Original.png,512,512,Lesion,312,253,348,277
000022_03_01_063_Dilatacion.png,512,512,Lesion,314,250,346,279
000022_03_01_063_Erosion.png,512,512,Lesion,315,253,344,280
000022_03_01_063_Original.png,512,512,Lesion,314,249,347,280
000022_03_01_064_Dilatacion.png,512,512,Lesion,318,250,343,271
000022_03_01_064_Erosion.png,512,512,Lesion,315,253,343,278
000022_03_01_064_Original.png,512,512,Lesion,318,254,341,275
000026_01_01_075_Dilatacion.png,512,512,Lesion,122,292,143,308
000026_01_01_075_Erosion.png,512,512,Lesion,119,295,143,312
000026_01_01_075_Original.png,512,512,Lesion,122,288,143,315
000026_01_01_076_Dilatacion.png,512,512,Lesion,119,288,144,306
000026_01_01_076_Erosion.png,512,512,Lesion,117,290,146,310
000026_01_01_076_Original.png,512,512,Lesion,117,289,144,308
024_Dilatacion_c003441_01_01.png,512,512,Lesion,104,256,208,356
024_Erosion_c003441_01_01.png,512,512,Lesion,105,251,212,359
024_Original_c003441_01_01.png,512,512,Lesion,107,254,211,356
025_Dilatacion_c003441_01_01.png,512,512,Lesion,103,255,213,359
025_Erosion_c003441_01_01.png,512,512,Lesion,105,256,210,352
025_Original_c003441_01_01.png,512,512,Lesion,104,261,208,354
026_Dilatacion_c000074_02_01.png,512,512,Lesion,333,264,352,283
026_Dilatacion_c003441_01_01.png,512,512,Lesion,99,263,212,358
026_Erosion_c000074_02_01.png,512,512,Lesion,334,266,351,287
026_Erosion_c003441_01_01.png,512,512,Lesion,106,257,208,356
026_Original_c000074_02_01.png,512,512,Lesion,336,266,351,282
026_Original_c003441_01_01.png,512,512,Lesion,105,256,209,356
027_Dilatacion_c000042_02_01.png,512,512,Lesion,167,333,198,366
027_Dilatacion_c000074_02_01.png,512,512,Lesion,335,267,349,284
027_Dilatacion_c001439_01_01.png,512,512,Lesion,171,292,199,316
027_Dilatacion_c002364_01_01.png,512,512,Lesion,163,356,194,388
027_Erosion_c000042_02_01.png,512,512,Lesion,174,337,198,363
027_Erosion_c000074_02_01.png,512,512,Lesion,330,268,351,285
027_Erosion_c001439_01_01.png,512,512,Lesion,174,294,196,316
027_Erosion_c002364_01_01.png,512,512,Lesion,166,359,194,387
027_Original_c000042_02_01.png,512,512,Lesion,168,333,199,363
027_Original_c000074_02_01.png,512,512,Lesion,332,268,349,284
027_Original_c001439_01_01.png,512,512,Lesion,174,293,197,318
027_Original_c002364_01_01.png,512,512,Lesion,165,363,193,390
028_Dilatacion_c000042_02_01.png,512,512,Lesion,169,335,198,362
028_Dilatacion_c001439_01_01.png,512,512,Lesion,357,281,387,316
028_Erosion_c000042_02_01.png,512,512,Lesion,170,335,198,364
028_Erosion_c001439_01_01.png,512,512,Lesion,355,280,387,318
028_Original_c000042_02_01.png,512,512,Lesion,169,334,198,364
028_Original_c001439_01_01.png,512,512,Lesion,355,278,387,318
029_Dilatacion_c000074_02_01.png,512,512,Lesion,161,306,189,332
029_Dilatacion_c001439_01_01.png,512,512,Lesion,354,278,391,318
029_Dilatacion_c001759_05_01.png,512,512,Lesion,130,246,229,352
029_Dilatacion_c003823_01_01.png,512,512,Lesion,108,302,201,391
029_Erosion_c000074_02_01.png,512,512,Lesion,163,305,184,328
029_Erosion_c001439_01_01.png,512,512,Lesion,351,276,388,321
029_Erosion_c001759_05_01.png,512,512,Lesion,129,243,225,349
029_Erosion_c003823_01_01.png,512,512,Lesion,101,292,201,389
029_Original_c000074_02_01.png,512,512,Lesion,165,306,187,333
029_Original_c001439_01_01.png,512,512,Lesion,349,275,390,324
029_Original_c001759_05_01.png,512,512,Lesion,130,251,222,349
029_Original_c003823_01_01.png,512,512,Lesion,103,291,201,396
030_Dilatacion_c000074_02_01.png,512,512,Lesion,163,308,188,328
030_Dilatacion_c001439_01_01.png,512,512,Lesion,347,274,389,322
030_Dilatacion_c001741_01_01.png,512,512,Lesion,386,256,402,270
030_Dilatacion_c002219_01_01.png,512,512,Lesion,372,259,397,284
030_Dilatacion_c003823_01_01.png,512,512,Lesion,98,294,203,394
030_Erosion_c000074_02_01.png,512,512,Lesion,159,306,188,328
030_Erosion_c001439_01_01.png,512,512,Lesion,348,279,387,321
030_Erosion_c001741_01_01.png,512,512,Lesion,385,256,400,277
030_Erosion_c002219_01_01.png,512,512,Lesion,367,258,395,286
030_Erosion_c003823_01_01.png,512,512,Lesion,101,294,201,395
030_Original_c000074_02_01.png,512,512,Lesion,161,309,185,332
030_Original_c001439_01_01.png,512,512,Lesion,349,279,388,320
030_Original_c001741_01_01.png,512,512,Lesion,383,256,402,274
030_Original_c002219_01_01.png,512,512,Lesion,371,258,394,288
030_Original_c003823_01_01.png,512,512,Lesion,104,294,203,393
031_Dilatacion_c001741_01_01.png,512,512,Lesion,387,257,403,271
031_Dilatacion_c002108_02_02.png,512,512,Lesion,156,256,227,320
031_Dilatacion_c002125_01_01.png,512,512,Lesion,109,295,132,319
031_Dilatacion_c002201_01_01.png,512,512,Lesion,344,278,373,302
031_Dilatacion_c003195_01_02.png,512,512,Lesion,343,232,374,258
031_Dilatacion_c003823_01_01.png,512,512,Lesion,100,296,200,394
031_Erosion_c001741_01_01.png,512,512,Lesion,387,258,401,275
031_Erosion_c002108_02_02.png,512,512,Lesion,162,259,225,314
031_Erosion_c002125_01_01.png,512,512,Lesion,105,293,132,316
031_Erosion_c002201_01_01.png,512,512,Lesion,346,277,371,301
031_Erosion_c003195_01_02.png,512,512,Lesion,348,228,373,263
031_Erosion_c003823_01_01.png,512,512,Lesion,97,297,198,394
031_Original_c001741_01_01.png,512,512,Lesion,384,255,404,272
031_Original_c002108_02_02.png,512,512,Lesion,163,258,227,315
031_Original_c002125_01_01.png,512,512,Lesion,109,294,130,320
031_Original_c002201_01_01.png,512,512,Lesion,348,277,370,302
031_Original_c003195_01_02.png,512,512,Lesion,346,230,375,261
031_Original_c003823_01_01.png,512,512,Lesion,100,297,201,394
032_Dilatacion_c000767_01_01.png,512,512,Lesion,170,349,185,362
032_Dilatacion_c001159_05_01.png,512,512,Lesion,271,278,282,291
032_Dilatacion_c001159_05_01.png,512,512,Lesion,281,282,306,303
032_Dilatacion_c002125_01_01.png,512,512,Lesion,108,294,131,320
032_Dilatacion_c002201_01_01.png,512,512,Lesion,348,280,371,301
032_Dilatacion_c003823_01_01.png,512,512,Lesion,101,295,201,391
032_Erosion_c000767_01_01.png,512,512,Lesion,174,350,187,362
032_Erosion_c001159_05_01.png,512,512,Lesion,271,278,283,292
032_Erosion_c001159_05_01.png,512,512,Lesion,279,286,309,301
032_Erosion_c002125_01_01.png,512,512,Lesion,108,295,132,321
032_Erosion_c002201_01_01.png,512,512,Lesion,348,278,368,304
032_Erosion_c003823_01_01.png,512,512,Lesion,99,301,200,394
032_Original_c000767_01_01.png,512,512,Lesion,173,347,187,361
032_Original_c001159_05_01.png,512,512,Lesion,281,282,303,302
032_Original_c001159_05_01.png,512,512,Lesion,270,279,283,293
032_Original_c002125_01_01.png,512,512,Lesion,108,294,128,323
032_Original_c002201_01_01.png,512,512,Lesion,346,280,371,302
032_Original_c003823_01_01.png,512,512,Lesion,103,296,198,392
033_Dilatacion_c000042_03_01.png,512,512,Lesion,165,316,198,352
033_Dilatacion_c001759_05_01.png,512,512,Lesion,183,244,204,266
033_Dilatacion_c002417_01_01.png,512,512,Lesion,175,277,186,286
033_Dilatacion_c003823_01_01.png,512,512,Lesion,98,300,197,391
033_Erosion_c000042_03_01.png,512,512,Lesion,163,313,204,346
033_Erosion_c001759_05_01.png,512,512,Lesion,181,242,203,267
033_Erosion_c002417_01_01.png,512,512,Lesion,178,279,188,287
033_Erosion_c003823_01_01.png,512,512,Lesion,104,301,197,394
033_Original_c000042_03_01.png,512,512,Lesion,167,315,203,350
033_Original_c001759_05_01.png,512,512,Lesion,180,246,208,267
033_Original_c002417_01_01.png,512,512,Lesion,176,278,185,288
033_Original_c003823_01_01.png,512,512,Lesion,97,300,195,390
034_Dilatacion_c001759_05_01.png,512,512,Lesion,176,246,205,267
034_Dilatacion_c001905_02_01.png,512,512,Lesion,112,282,136,308
034_Dilatacion_c003441_01_01.png,512,512,Lesion,92,250,143,287
034_Dilatacion_c003823_01_01.png,512,512,Lesion,105,304,195,392
034_Erosion_c001759_05_01.png,512,512,Lesion,179,243,207,269
034_Erosion_c001905_02_01.png,512,512,Lesion,114,280,135,304
034_Erosion_c003441_01_01.png,512,512,Lesion,94,252,141,287
034_Erosion_c003823_01_01.png,512,512,Lesion,103,305,194,387
034_Original_c001759_05_01.png,512,512,Lesion,177,245,207,269
034_Original_c001905_02_01.png,512,512,Lesion,111,281,136,304
034_Original_c003441_01_01.png,512,512,Lesion,92,251,143,287
034_Original_c003823_01_01.png,512,512,Lesion,102,304,194,390
035_Dilatacion_c000074_02_01.png,512,512,Lesion,132,253,154,287
035_Dilatacion_c001361_01_01.png,512,512,Lesion,207,219,238,245
035_Dilatacion_c001905_02_01.png,512,512,Lesion,147,231,182,264
035_Dilatacion_c003071_01_01.png,512,512,Lesion,327,192,402,289
035_Dilatacion_c003441_01_01.png,512,512,Lesion,91,248,135,285
035_Dilatacion_c003823_01_01.png,512,512,Lesion,105,309,191,389
035_Dilatacion_c003823_01_01.png,512,512,Lesion,277,242,356,309
035_Erosion_c000074_02_01.png,512,512,Lesion,135,256,156,285
035_Erosion_c001361_01_01.png,512,512,Lesion,206,220,236,246
035_Erosion_c001905_02_01.png,512,512,Lesion,149,232,183,266
035_Erosion_c003071_01_01.png,512,512,Lesion,329,195,398,281
035_Erosion_c003441_01_01.png,512,512,Lesion,94,252,134,288
035_Erosion_c003823_01_01.png,512,512,Lesion,107,308,189,387
035_Erosion_c003823_01_01.png,512,512,Lesion,277,246,358,308
035_Original_c000074_02_01.png,512,512,Lesion,133,253,155,283
035_Original_c001361_01_01.png,512,512,Lesion,208,218,238,245
035_Original_c001905_02_01.png,512,512,Lesion,150,232,183,266
